Week,china,putin,iran,refugee,syria
2011-09-11 - 2011-09-17,51,1,6,1,2
2011-09-18 - 2011-09-24,50,1,7,1,2
2011-09-25 - 2011-10-01,51,2,8,1,2
2011-10-02 - 2011-10-08,50,1,7,1,2
2011-10-09 - 2011-10-15,52,1,9,1,2
2011-10-16 - 2011-10-22,60,1,7,1,2
2011-10-23 - 2011-10-29,53,1,7,1,2
2011-10-30 - 2011-11-05,52,1,9,1,2
2011-11-06 - 2011-11-12,51,1,13,1,2
2011-11-13 - 2011-11-19,54,1,10,1,3
2011-11-20 - 2011-11-26,51,1,9,1,4
2011-11-27 - 2011-12-03,51,1,12,1,3
2011-12-04 - 2011-12-10,50,2,12,1,3
2011-12-11 - 2011-12-17,49,2,11,1,3
2011-12-18 - 2011-12-24,45,1,8,1,3
2011-12-25 - 2011-12-31,47,1,11,0,3
2012-01-01 - 2012-01-07,48,1,14,1,2
2012-01-08 - 2012-01-14,49,1,14,1,2
2012-01-15 - 2012-01-21,47,1,12,1,2
2012-01-22 - 2012-01-28,47,1,12,1,2
2012-01-29 - 2012-02-04,48,1,12,1,3
2012-02-05 - 2012-02-11,49,1,13,1,7
2012-02-12 - 2012-02-18,50,1,15,1,5
2012-02-19 - 2012-02-25,50,1,15,1,6
2012-02-26 - 2012-03-03,49,3,13,1,4
2012-03-04 - 2012-03-10,49,5,13,1,4
2012-03-11 - 2012-03-17,50,1,11,1,4
2012-03-18 - 2012-03-24,50,1,10,1,3
2012-03-25 - 2012-03-31,51,1,9,1,3
2012-04-01 - 2012-04-07,48,1,8,1,3
2012-04-08 - 2012-04-14,50,1,9,1,3
2012-04-15 - 2012-04-21,52,1,8,1,3
2012-04-22 - 2012-04-28,51,1,8,1,2
2012-04-29 - 2012-05-05,50,1,8,1,2
2012-05-06 - 2012-05-12,50,2,7,1,2
2012-05-13 - 2012-05-19,50,1,8,1,2
2012-05-20 - 2012-05-26,49,1,8,1,2
2012-05-27 - 2012-06-02,47,1,8,1,5
2012-06-03 - 2012-06-09,51,1,7,1,4
2012-06-10 - 2012-06-16,49,1,7,1,4
2012-06-17 - 2012-06-23,47,1,7,1,4
2012-06-24 - 2012-06-30,48,1,7,1,4
2012-07-01 - 2012-07-07,46,1,8,1,3
2012-07-08 - 2012-07-14,46,1,7,1,3
2012-07-15 - 2012-07-21,47,1,8,1,7
2012-07-22 - 2012-07-28,49,1,8,1,6
2012-07-29 - 2012-08-04,58,1,8,1,6
2012-08-05 - 2012-08-11,54,1,10,1,5
2012-08-12 - 2012-08-18,50,1,13,1,5
2012-08-19 - 2012-08-25,50,1,9,1,4
2012-08-26 - 2012-09-01,49,1,8,1,4
2012-09-02 - 2012-09-08,51,1,9,1,4
2012-09-09 - 2012-09-15,55,1,9,1,4
2012-09-16 - 2012-09-22,54,1,10,1,3
2012-09-23 - 2012-09-29,52,1,12,1,3
2012-09-30 - 2012-10-06,49,1,10,1,5
2012-10-07 - 2012-10-13,48,1,9,1,4
2012-10-14 - 2012-10-20,49,1,9,1,3
2012-10-21 - 2012-10-27,49,1,9,1,4
2012-10-28 - 2012-11-03,48,1,7,1,3
2012-11-04 - 2012-11-10,49,1,9,1,3
2012-11-11 - 2012-11-17,48,1,9,1,3
2012-11-18 - 2012-11-24,46,1,9,1,3
2012-11-25 - 2012-12-01,48,1,7,1,4
2012-12-02 - 2012-12-08,46,1,7,1,5
2012-12-09 - 2012-12-15,51,1,7,1,4
2012-12-16 - 2012-12-22,50,1,6,1,3
2012-12-23 - 2012-12-29,44,1,7,0,3
2012-12-30 - 2013-01-05,45,1,7,1,3
2013-01-06 - 2013-01-12,45,1,6,1,3
2013-01-13 - 2013-01-19,46,1,6,1,3
2013-01-20 - 2013-01-26,46,1,7,1,3
2013-01-27 - 2013-02-02,45,1,9,1,4
2013-02-03 - 2013-02-09,45,1,9,1,3
2013-02-10 - 2013-02-16,43,1,7,1,3
2013-02-17 - 2013-02-23,46,1,8,1,3
2013-02-24 - 2013-03-02,47,1,8,1,3
2013-03-03 - 2013-03-09,48,1,8,1,3
2013-03-10 - 2013-03-16,48,1,7,1,3
2013-03-17 - 2013-03-23,48,1,7,1,3
2013-03-24 - 2013-03-30,48,1,7,1,3
2013-03-31 - 2013-04-06,51,1,7,1,3
2013-04-07 - 2013-04-13,52,3,8,1,3
2013-04-14 - 2013-04-20,53,1,12,1,3
2013-04-21 - 2013-04-27,53,2,7,1,4
2013-04-28 - 2013-05-04,49,1,6,1,4
2013-05-05 - 2013-05-11,48,1,7,1,6
2013-05-12 - 2013-05-18,46,1,6,1,5
2013-05-19 - 2013-05-25,47,1,6,1,4
2013-05-26 - 2013-06-01,50,1,6,1,5
2013-06-02 - 2013-06-08,47,3,6,1,4
2013-06-09 - 2013-06-15,46,2,8,1,5
2013-06-16 - 2013-06-22,45,3,9,1,5
2013-06-23 - 2013-06-29,45,2,6,1,4
2013-06-30 - 2013-07-06,45,1,6,1,4
2013-07-07 - 2013-07-13,45,1,6,1,3
2013-07-14 - 2013-07-20,45,1,6,1,3
2013-07-21 - 2013-07-27,45,1,6,1,3
2013-07-28 - 2013-08-03,46,2,6,1,3
2013-08-04 - 2013-08-10,47,2,6,1,3
2013-08-11 - 2013-08-17,47,2,7,1,3
2013-08-18 - 2013-08-24,47,1,6,1,10
2013-08-25 - 2013-08-31,47,2,7,1,55
2013-09-01 - 2013-09-07,48,4,7,1,52
2013-09-08 - 2013-09-14,47,7,7,1,35
2013-09-15 - 2013-09-21,46,3,6,1,11
2013-09-22 - 2013-09-28,48,2,7,1,6
2013-09-29 - 2013-10-05,51,2,7,1,5
2013-10-06 - 2013-10-12,50,2,6,1,4
2013-10-13 - 2013-10-19,50,1,6,1,4
2013-10-20 - 2013-10-26,50,1,6,1,4
2013-10-27 - 2013-11-02,49,1,6,1,4
2013-11-03 - 2013-11-09,49,1,6,1,3
2013-11-10 - 2013-11-16,51,1,7,1,3
2013-11-17 - 2013-11-23,51,1,7,1,3
2013-11-24 - 2013-11-30,50,2,10,1,3
2013-12-01 - 2013-12-07,51,1,7,1,3
2013-12-08 - 2013-12-14,48,1,7,1,3
2013-12-15 - 2013-12-21,47,2,6,1,3
