Week,brexit,zika,migrant,gold,oil
2012-01-15 - 2012-01-21,0,0,0,55,37
2012-01-22 - 2012-01-28,0,0,0,55,38
2012-01-29 - 2012-02-04,0,0,0,55,38
2012-02-05 - 2012-02-11,0,0,0,55,38
2012-02-12 - 2012-02-18,0,0,0,54,38
2012-02-19 - 2012-02-25,0,0,0,55,40
2012-02-26 - 2012-03-03,0,0,0,55,39
2012-03-04 - 2012-03-10,0,0,0,53,39
2012-03-11 - 2012-03-17,0,0,0,54,39
2012-03-18 - 2012-03-24,0,0,0,52,39
2012-03-25 - 2012-03-31,0,0,0,52,40
2012-04-01 - 2012-04-07,0,0,0,52,38
2012-04-08 - 2012-04-14,0,0,0,51,37
2012-04-15 - 2012-04-21,0,0,0,52,38
2012-04-22 - 2012-04-28,0,0,0,52,38
2012-04-29 - 2012-05-05,0,0,0,52,39
2012-05-06 - 2012-05-12,0,0,0,52,38
2012-05-13 - 2012-05-19,0,0,0,54,39
2012-05-20 - 2012-05-26,0,0,0,53,38
2012-05-27 - 2012-06-02,0,0,0,53,37
2012-06-03 - 2012-06-09,0,0,0,55,37
2012-06-10 - 2012-06-16,0,0,0,53,37
2012-06-17 - 2012-06-23,0,0,0,53,37
2012-06-24 - 2012-06-30,0,0,0,54,39
2012-07-01 - 2012-07-07,0,0,0,54,38
2012-07-08 - 2012-07-14,0,0,0,57,38
2012-07-15 - 2012-07-21,0,0,0,56,38
2012-07-22 - 2012-07-28,0,0,0,57,38
2012-07-29 - 2012-08-04,0,0,0,81,38
2012-08-05 - 2012-08-11,0,0,0,82,38
2012-08-12 - 2012-08-18,0,0,0,70,39
2012-08-19 - 2012-08-25,0,0,0,57,39
2012-08-26 - 2012-09-01,0,0,0,55,38
2012-09-02 - 2012-09-08,0,0,0,58,38
2012-09-09 - 2012-09-15,0,0,0,57,40
2012-09-16 - 2012-09-22,0,0,0,56,40
2012-09-23 - 2012-09-29,0,0,0,56,39
2012-09-30 - 2012-10-06,0,0,0,55,38
2012-10-07 - 2012-10-13,0,0,0,53,38
2012-10-14 - 2012-10-20,0,0,0,53,38
2012-10-21 - 2012-10-27,0,0,0,55,38
2012-10-28 - 2012-11-03,0,0,0,52,37
2012-11-04 - 2012-11-10,0,0,0,54,38
2012-11-11 - 2012-11-17,0,0,0,55,39
2012-11-18 - 2012-11-24,0,0,0,53,36
2012-11-25 - 2012-12-01,0,0,0,56,37
2012-12-02 - 2012-12-08,0,0,0,56,37
2012-12-09 - 2012-12-15,0,0,0,55,35
2012-12-16 - 2012-12-22,0,0,0,57,34
2012-12-23 - 2012-12-29,0,0,0,60,33
2012-12-30 - 2013-01-05,0,0,0,59,39
2013-01-06 - 2013-01-12,0,0,0,58,40
2013-01-13 - 2013-01-19,0,0,0,57,39
2013-01-20 - 2013-01-26,0,0,0,57,40
2013-01-27 - 2013-02-02,0,0,0,57,40
2013-02-03 - 2013-02-09,0,0,0,55,39
2013-02-10 - 2013-02-16,0,0,0,55,39
2013-02-17 - 2013-02-23,0,0,0,60,41
2013-02-24 - 2013-03-02,0,0,0,58,40
2013-03-03 - 2013-03-09,0,0,0,55,41
2013-03-10 - 2013-03-16,0,0,0,55,40
2013-03-17 - 2013-03-23,0,0,0,54,40
2013-03-24 - 2013-03-30,0,0,0,53,41
2013-03-31 - 2013-04-06,0,0,0,54,41
2013-04-07 - 2013-04-13,0,0,0,57,41
2013-04-14 - 2013-04-20,0,0,0,100,41
2013-04-21 - 2013-04-27,0,0,0,73,42
2013-04-28 - 2013-05-04,0,0,0,62,41
2013-05-05 - 2013-05-11,0,0,0,60,41
2013-05-12 - 2013-05-18,0,0,0,61,39
2013-05-19 - 2013-05-25,0,0,0,60,39
2013-05-26 - 2013-06-01,0,0,0,56,39
2013-06-02 - 2013-06-08,0,0,0,54,39
2013-06-09 - 2013-06-15,0,0,0,55,39
2013-06-16 - 2013-06-22,0,0,0,57,39
2013-06-23 - 2013-06-29,0,0,0,65,40
2013-06-30 - 2013-07-06,0,0,0,64,39
2013-07-07 - 2013-07-13,0,0,0,62,42
2013-07-14 - 2013-07-20,0,0,0,60,41
2013-07-21 - 2013-07-27,0,0,0,63,43
2013-07-28 - 2013-08-03,0,0,0,61,42
2013-08-04 - 2013-08-10,0,0,0,56,41
2013-08-11 - 2013-08-17,0,0,0,59,42
2013-08-18 - 2013-08-24,0,0,0,60,41
2013-08-25 - 2013-08-31,0,0,0,61,40
2013-09-01 - 2013-09-07,0,0,0,58,41
2013-09-08 - 2013-09-14,0,0,0,60,40
2013-09-15 - 2013-09-21,0,0,0,59,40
2013-09-22 - 2013-09-28,0,0,0,58,40
2013-09-29 - 2013-10-05,0,0,0,57,39
2013-10-06 - 2013-10-12,0,0,0,57,40
2013-10-13 - 2013-10-19,0,0,0,60,40
2013-10-20 - 2013-10-26,0,0,0,57,40
2013-10-27 - 2013-11-02,0,0,0,58,40
2013-11-03 - 2013-11-09,0,0,0,55,41
2013-11-10 - 2013-11-16,0,0,0,55,41
2013-11-17 - 2013-11-23,0,0,0,57,40
2013-11-24 - 2013-11-30,0,0,0,57,39
2013-12-01 - 2013-12-07,0,0,0,59,39
2013-12-08 - 2013-12-14,0,0,0,59,39
2013-12-15 - 2013-12-21,0,0,0,60,38
2013-12-22 - 2013-12-28,0,0,0,61,36
2013-12-29 - 2014-01-04,0,0,0,62,42
2014-01-05 - 2014-01-11,0,0,0,59,44
2014-01-12 - 2014-01-18,0,0,0,58,43
2014-01-19 - 2014-01-25,0,0,0,58,44
2014-01-26 - 2014-02-01,0,0,0,57,44
2014-02-02 - 2014-02-08,0,0,0,57,42
2014-02-09 - 2014-02-15,0,0,0,67,43
2014-02-16 - 2014-02-22,0,0,0,68,44
2014-02-23 - 2014-03-01,0,0,0,66,45
2014-03-02 - 2014-03-08,0,0,0,57,47
2014-03-09 - 2014-03-15,0,0,0,56,47
2014-03-16 - 2014-03-22,0,0,0,53,44
